respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
6328,Graduate,2,Video lectures,Academic workload pressure,Low,Online platforms provide access to diverse resources,Mobile
6329,Graduate,5,Practice exercises,Low motivation,Low,Online learning is flexible and convenient,Tablet
6330,Graduate,5,Reading notes,Academic workload pressure,High,Online learning is flexible and convenient,Laptop
6331,Undergraduate,1,Recorded tutorials,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
6332,Undergraduate,3,Interactive discussion,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Tablet
6333,Undergraduate,5,Recorded tutorials,Academic workload pressure,High,Online learning is flexible and convenient,Laptop
6334,Graduate,1,Practice exercises,Lack of concentration,Low,Online learning requires strong self-discipline,Laptop
6335,Postgraduate,2,Reading notes,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Laptop
6336,Graduate,4,Recorded tutorials,Low motivation,High,Online platforms provide access to diverse resources,Tablet
6337,Graduate,6,Interactive discussion,Internet connectivity issues,High,Online platforms provide access to diverse resources,Laptop
6338,Graduate,1,Video lectures,Low motivation,Low,Online learning is flexible and convenient,Tablet
6339,Undergraduate,5,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Mobile
6340,Undergraduate,6,Practice exercises,Internet connectivity issues,Medium,Online learning is flexible and convenient,Laptop
6341,Graduate,1,Recorded tutorials,Time management difficulty,Medium,Online learning requires strong self-discipline,Laptop
6342,Postgraduate,4,Practice exercises,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Mobile
6343,Undergraduate,2,Reading notes,Academic workload pressure,Low,Online learning is flexible and convenient,Mobile
6344,Graduate,4,Video lectures,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
6345,Undergraduate,4,Practice exercises,Low motivation,High,Online platforms provide access to diverse resources,Tablet
6346,Undergraduate,6,Reading notes,Time management difficulty,Medium,Online learning is flexible and convenient,Laptop
6347,Postgraduate,3,Practice exercises,Time management difficulty,High,Online learning requires strong self-discipline,Tablet
6348,Postgraduate,1,Reading notes,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Tablet
6349,Postgraduate,6,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
6350,Undergraduate,2,Video lectures,Low motivation,High,Online learning is effective for theory-based subjects,Laptop
6351,Undergraduate,3,Practice exercises,Academic workload pressure,Medium,Blended learning is more effective than fully online,Mobile
6352,Postgraduate,4,Practice exercises,Low motivation,High,Online learning requires strong self-discipline,Tablet
6353,Undergraduate,3,Video lectures,Time management difficulty,Low,Online platforms provide access to diverse resources,Tablet
6354,Graduate,6,Recorded tutorials,Time management difficulty,High,Online learning is flexible and convenient,Tablet
6355,Postgraduate,6,Practice exercises,Academic workload pressure,High,Online learning is effective for theory-based subjects,Tablet
6356,Graduate,4,Practice exercises,Internet connectivity issues,Low,Blended learning is more effective than fully online,Mobile
6357,Postgraduate,5,Reading notes,Time management difficulty,Medium,Online platforms provide access to diverse resources,Tablet
6358,Graduate,4,Practice exercises,Low motivation,Medium,Online learning is flexible and convenient,Laptop
6359,Graduate,3,Practice exercises,Lack of concentration,High,Blended learning is more effective than fully online,Laptop
6360,Undergraduate,1,Reading notes,Academic workload pressure,Medium,Online learning requires strong self-discipline,Laptop
6361,Undergraduate,6,Reading notes,Time management difficulty,Medium,Online platforms provide access to diverse resources,Tablet
6362,Postgraduate,2,Reading notes,Academic workload pressure,High,Online platforms provide access to diverse resources,Laptop
6363,Postgraduate,3,Interactive discussion,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Laptop
6364,Undergraduate,6,Practice exercises,Low motivation,High,Blended learning is more effective than fully online,Tablet
6365,Postgraduate,5,Interactive discussion,Low motivation,Medium,Online learning requires strong self-discipline,Tablet
6366,Graduate,2,Interactive discussion,Lack of concentration,High,Online learning requires strong self-discipline,Tablet
6367,Undergraduate,4,Practice exercises,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
6368,Graduate,6,Reading notes,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Mobile
6369,Graduate,5,Practice exercises,Lack of concentration,High,Online learning requires strong self-discipline,Tablet
6370,Graduate,6,Reading notes,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Mobile
6371,Graduate,4,Recorded tutorials,Academic workload pressure,High,Online learning is effective for theory-based subjects,Mobile
6372,Graduate,6,Practice exercises,Lack of concentration,High,Blended learning is more effective than fully online,Tablet
6373,Postgraduate,3,Reading notes,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Tablet
6374,Undergraduate,4,Interactive discussion,Academic workload pressure,Low,Online platforms provide access to diverse resources,Laptop
6375,Graduate,5,Recorded tutorials,Internet connectivity issues,High,Blended learning is more effective than fully online,Laptop
6376,Undergraduate,3,Recorded tutorials,Low motivation,Low,Online learning requires strong self-discipline,Laptop
6377,Undergraduate,3,Video lectures,Low motivation,Medium,Online learning requires strong self-discipline,Laptop
6378,Undergraduate,5,Reading notes,Low motivation,Low,Online learning requires strong self-discipline,Tablet
6379,Graduate,5,Video lectures,Internet connectivity issues,High,Online learning is flexible and convenient,Tablet
6380,Postgraduate,3,Interactive discussion,Internet connectivity issues,High,Online learning is flexible and convenient,Tablet
6381,Graduate,6,Interactive discussion,Time management difficulty,High,Online learning is flexible and convenient,Tablet
6382,Graduate,1,Reading notes,Internet connectivity issues,High,Online platforms provide access to diverse resources,Laptop
6383,Undergraduate,1,Reading notes,Academic workload pressure,Low,Online platforms provide access to diverse resources,Tablet
6384,Undergraduate,1,Reading notes,Lack of concentration,High,Online learning requires strong self-discipline,Laptop
6385,Graduate,5,Reading notes,Internet connectivity issues,Low,Online learning is flexible and convenient,Tablet
6386,Undergraduate,6,Interactive discussion,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Tablet
6387,Graduate,5,Practice exercises,Academic workload pressure,High,Online platforms provide access to diverse resources,Mobile
6388,Graduate,6,Video lectures,Time management difficulty,Low,Online learning requires strong self-discipline,Laptop
6389,Undergraduate,6,Practice exercises,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Mobile
6390,Graduate,3,Interactive discussion,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
6391,Graduate,3,Interactive discussion,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Laptop
6392,Postgraduate,1,Video lectures,Internet connectivity issues,High,Online platforms provide access to diverse resources,Mobile
6393,Postgraduate,3,Interactive discussion,Low motivation,Medium,Online learning is flexible and convenient,Tablet
6394,Undergraduate,3,Practice exercises,Lack of concentration,High,Online learning requires strong self-discipline,Laptop
6395,Graduate,4,Video lectures,Difficulty understanding concepts,High,Online learning is flexible and convenient,Laptop
6396,Graduate,1,Recorded tutorials,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Laptop
6397,Graduate,3,Reading notes,Lack of concentration,High,Online platforms provide access to diverse resources,Tablet
6398,Postgraduate,6,Interactive discussion,Lack of concentration,High,Online platforms provide access to diverse resources,Tablet
6399,Graduate,1,Video lectures,Time management difficulty,Low,Blended learning is more effective than fully online,Tablet
6400,Graduate,5,Recorded tutorials,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
6401,Postgraduate,6,Video lectures,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
6402,Graduate,2,Interactive discussion,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
6403,Graduate,3,Reading notes,Internet connectivity issues,High,Online learning is flexible and convenient,Laptop
6404,Postgraduate,1,Video lectures,Low motivation,Low,Online learning requires strong self-discipline,Laptop
6405,Postgraduate,3,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Mobile
6406,Undergraduate,1,Video lectures,Time management difficulty,Low,Online learning is flexible and convenient,Tablet
6407,Undergraduate,6,Recorded tutorials,Internet connectivity issues,High,Online learning is flexible and convenient,Mobile
6408,Postgraduate,5,Reading notes,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Mobile
